[97m[1mLoaded bsuite_id: deep_sea/0.
Episode: 140, Episode length: 10, Episode reward: 0.99
Episode: 141, Episode length: 10, Episode reward: -0.007
Episode: 142, Episode length: 10, Episode reward: 0.99
Episode: 143, Episode length: 10, Episode reward: 0.99
Episode: 144, Episode length: 10, Episode reward: 0.99
Episode: 145, Episode length: 10, Episode reward: 0.99
Episode: 146, Episode length: 10, Episode reward: 0.99
Episode: 147, Episode length: 10, Episode reward: 0.99
Episode: 148, Episode length: 10, Episode reward: 0.99
Episode: 149, Episode length: 10, Episode reward: 0.99
Episode: 150, Episode length: 10, Episode reward: 0.99
Episode: 151, Episode length: 10, Episode reward: 0.99
Episode: 152, Episode length: 10, Episode reward: 0.99
Episode: 153, Episode length: 10, Episode reward: 0.99
Episode: 154, Episode length: 10, Episode reward: 0.99
Episode: 155, Episode length: 10, Episode reward: 0.99
Episode: 156, Episode length: 10, Episode reward: 0.99
Episode: 157, Episode length: 10, Episode reward: 0.99
Episode: 158, Episode length: 10, Episode reward: 0.99
Episode: 159, Episode length: 10, Episode reward: 0.99
Episode: 160, Episode length: 10, Episode reward: -0.007
Episode: 161, Episode length: 10, Episode reward: 0.99
Episode: 162, Episode length: 10, Episode reward: 0.99
Episode: 163, Episode length: 10, Episode reward: 0.99
Episode: 164, Episode length: 10, Episode reward: 0.99
Episode: 165, Episode length: 10, Episode reward: 0.99
Episode: 166, Episode length: 10, Episode reward: 0.99
Episode: 167, Episode length: 10, Episode reward: 0.99
Episode: 168, Episode length: 10, Episode reward: 0.99
Episode: 169, Episode length: 10, Episode reward: -0.006
Episode: 170, Episode length: 10, Episode reward: 0.99
Episode: 171, Episode length: 10, Episode reward: 0.99
Episode: 172, Episode length: 10, Episode reward: 0.99
Episode: 173, Episode length: 10, Episode reward: 0.99
Episode: 174, Episode length: 10, Episode reward: -0.007
Episode: 175, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 176, Episode length: 10, Episode reward: 0.99
Episode: 177, Episode length: 10, Episode reward: 0.99
Episode: 178, Episode length: 10, Episode reward: 0.99
Episode: 179, Episode length: 10, Episode reward: 0.99
Episode: 180, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 181, Episode length: 10, Episode reward: 0.99
Episode: 182, Episode length: 10, Episode reward: 0.99
Episode: 183, Episode length: 10, Episode reward: 0.99
Episode: 184, Episode length: 10, Episode reward: 0.99
Episode: 185, Episode length: 10, Episode reward: 0.99
Episode: 186, Episode length: 10, Episode reward: 0.99
Episode: 187, Episode length: 10, Episode reward: 0.99
Episode: 188, Episode length: 10, Episode reward: 0.99
Episode: 189, Episode length: 10, Episode reward: 0.99
Episode: 190, Episode length: 10, Episode reward: 0.99
Episode: 191, Episode length: 10, Episode reward: 0.99
Episode: 192, Episode length: 10, Episode reward: 0.99
Episode: 193, Episode length: 10, Episode reward: 0.99
Episode: 194, Episode length: 10, Episode reward: 0.99
Episode: 195, Episode length: 10, Episode reward: 0.99
Episode: 196, Episode length: 10, Episode reward: 0.99
Episode: 197, Episode length: 10, Episode reward: 0.99
Episode: 198, Episode length: 10, Episode reward: 0.99
Episode: 199, Episode length: 10, Episode reward: 0.99
Episode: 200, Episode length: 10, Episode reward: 0.99
Episode: 201, Episode length: 10, Episode reward: 0.99
Episode: 202, Episode length: 10, Episode reward: 0.99
Episode: 203, Episode length: 10, Episode reward: 0.99
Episode: 204, Episode length: 10, Episode reward: 0.99
Episode: 205, Episode length: 10, Episode reward: 0.99
Episode: 206, Episode length: 10, Episode reward: 0.99
Episode: 207, Episode length: 10, Episode reward: 0.99
Episode: 208, Episode length: 10, Episode reward: 0.99
Episode: 209, Episode length: 10, Episode reward: 0.99
Episode: 210, Episode length: 10, Episode reward: 0.99
