[97m[1mLoaded bsuite_id: deep_sea/0.
Episode: 368, Episode length: 10, Episode reward: -0.006
Episode: 369, Episode length: 10, Episode reward: -0.004
Episode: 370, Episode length: 10, Episode reward: -0.006
Episode: 371, Episode length: 10, Episode reward: -0.005
Episode: 372, Episode length: 10, Episode reward: -0.005
Episode: 373, Episode length: 10, Episode reward: -0.004
Episode: 374, Episode length: 10, Episode reward: -0.006
Episode: 375, Episode length: 10, Episode reward: -0.002
Episode: 376, Episode length: 10, Episode reward: -0.005
Episode: 377, Episode length: 10, Episode reward: -0.004
Episode: 378, Episode length: 10, Episode reward: -0.005
Episode: 379, Episode length: 10, Episode reward: -0.005
Episode: 380, Episode length: 10, Episode reward: -0.005
Episode: 381, Episode length: 10, Episode reward: -0.003
Episode: 382, Episode length: 10, Episode reward: -0.004
Episode: 383, Episode length: 10, Episode reward: -0.003
Episode: 384, Episode length: 10, Episode reward: -0.005
Episode: 385, Episode length: 10, Episode reward: -0.002
Episode: 386, Episode length: 10, Episode reward: -0.007
Episode: 387, Episode length: 10, Episode reward: -0.003
Episode: 388, Episode length: 10, Episode reward: -0.004
Episode: 389, Episode length: 10, Episode reward: -0.006
Episode: 390, Episode length: 10, Episode reward: -0.006
Episode: 391, Episode length: 10, Episode reward: -0.005
Episode: 392, Episode length: 10, Episode reward: -0.006
Episode: 393, Episode length: 10, Episode reward: -0.005
Episode: 394, Episode length: 10, Episode reward: -0.007
Episode: 395, Episode length: 10, Episode reward: -0.005
Episode: 396, Episode length: 10, Episode reward: -0.005
Episode: 397, Episode length: 10, Episode reward: -0.005
Episode: 398, Episode length: 10, Episode reward: -0.005
Episode: 399, Episode length: 10, Episode reward: -0.007
Episode: 400, Episode length: 10, Episode reward: -0.004
Episode: 401, Episode length: 10, Episode reward: -0.008
Episode: 402, Episode length: 10, Episode reward: -0.008
Episode: 403, Episode length: 10, Episode reward: -0.006
Episode: 404, Episode length: 10, Episode reward: -0.003
Episode: 405, Episode length: 10, Episode reward: -0.003
Episode: 406, Episode length: 10, Episode reward: -0.006
Episode: 407, Episode length: 10, Episode reward: -0.003
Episode: 408, Episode length: 10, Episode reward: -0.004
Episode: 409, Episode length: 10, Episode reward: -0.004
Episode: 410, Episode length: 10, Episode reward: -0.005
Episode: 411, Episode length: 10, Episode reward: -0.003
Episode: 412, Episode length: 10, Episode reward: -0.004
Episode: 413, Episode length: 10, Episode reward: -0.003
Episode: 414, Episode length: 10, Episode reward: -0.005
Episode: 415, Episode length: 10, Episode reward: -0.003
Episode: 416, Episode length: 10, Episode reward: -0.004
Episode: 417, Episode length: 10, Episode reward: -0.004
Episode: 418, Episode length: 10, Episode reward: -0.005
Episode: 419, Episode length: 10, Episode reward: -0.004
Episode: 420, Episode length: 10, Episode reward: -0.007
Episode: 421, Episode length: 10, Episode reward: -0.005
Episode: 422, Episode length: 10, Episode reward: -0.003
Episode: 423, Episode length: 10, Episode reward: -0.004
Episode: 424, Episode length: 10, Episode reward: -0.005
Episode: 425, Episode length: 10, Episode reward: -0.004
Episode: 426, Episode length: 10, Episode reward: -0.007
Episode: 427, Episode length: 10, Episode reward: -0.005
Episode: 428, Episode length: 10, Episode reward: -0.004
Episode: 429, Episode length: 10, Episode reward: -0.003
Episode: 430, Episode length: 10, Episode reward: -0.004
Episode: 431, Episode length: 10, Episode reward: -0.005
Episode: 432, Episode length: 10, Episode reward: -0.003
Episode: 433, Episode length: 10, Episode reward: -0.004
Episode: 434, Episode length: 10, Episode reward: -0.004
Episode: 435, Episode length: 10, Episode reward: -0.004
Episode: 436, Episode length: 10, Episode reward: -0.003
Episode: 437, Episode length: 10, Episode reward: -0.005
Episode: 438, Episode length: 10, Episode reward: -0.005
Episode: 439, Episode length: 10, Episode reward: -0.005
Episode: 440, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 441, Episode length: 10, Episode reward: -0.006
Episode: 442, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 443, Episode length: 10, Episode reward: -0.009000000000000001
Episode: 444, Episode length: 10, Episode reward: -0.005
Episode: 445, Episode length: 10, Episode reward: -0.006
Episode: 446, Episode length: 10, Episode reward: -0.003
Episode: 447, Episode length: 10, Episode reward: -0.005
Episode: 448, Episode length: 10, Episode reward: -0.004
Episode: 449, Episode length: 10, Episode reward: -0.004
Episode: 450, Episode length: 10, Episode reward: -0.004
Episode: 451, Episode length: 10, Episode reward: -0.006
Episode: 452, Episode length: 10, Episode reward: -0.005
Episode: 453, Episode length: 10, Episode reward: -0.005
Episode: 454, Episode length: 10, Episode reward: -0.006
Episode: 455, Episode length: 10, Episode reward: -0.001
Episode: 456, Episode length: 10, Episode reward: -0.006
Episode: 457, Episode length: 10, Episode reward: -0.006
Episode: 458, Episode length: 10, Episode reward: -0.006
Episode: 459, Episode length: 10, Episode reward: -0.005
Episode: 460, Episode length: 10, Episode reward: -0.006
Episode: 461, Episode length: 10, Episode reward: -0.004
Episode: 462, Episode length: 10, Episode reward: -0.006
Episode: 463, Episode length: 10, Episode reward: -0.005
Episode: 464, Episode length: 10, Episode reward: -0.003
Episode: 465, Episode length: 10, Episode reward: -0.003
Episode: 466, Episode length: 10, Episode reward: -0.005
Episode: 467, Episode length: 10, Episode reward: -0.008
Episode: 468, Episode length: 10, Episode reward: -0.005
Episode: 469, Episode length: 10, Episode reward: -0.005
Episode: 470, Episode length: 10, Episode reward: -0.005
Episode: 471, Episode length: 10, Episode reward: -0.006
Episode: 472, Episode length: 10, Episode reward: -0.004
